,calibName,chamber,splitDriftTime,diffJointPoint,para_smallRt,residual_smallRt,ndf_smallRt,para_largeRt,residual_largeRt,ndf_largeRt,para_res,residual_res,ndf_res
23,BEE_6_2,BEE2A12,98.96597731821214,-0.0005907127688260516,"[0.046352021659955396, 0.07206002675392792]",[0.02123131],14,"[-5.342914120112528e-11, 1.1314237665190216e-07, -9.427822721236273e-05, 0.047960610684860655, 0.7311161793166789]",[0.02557061],87,"[0.009468005185291657, -0.4147336419206712, 7.063431700820854, -56.111923910441064, 240.3739330926018]",[6.25873714],100
24,BEE_7_-1,BEE1C14,98.66577718478986,-0.0002448736053386469,"[0.046391021151394166, 0.07072152003668077]",[0.01895669],14,"[-5.528377214224023e-11, 1.1626956416216707e-07, -9.620769135069757e-05, 0.04853992223333288, 0.6885910195513939]",[0.02575048],87,"[0.009633694358752682, -0.4202193207113075, 7.122454010399095, -56.31640875151422, 240.3583110106302]",[7.51722717],100
25,BEE_7_-2,BEE2C14,98.66577718478986,0.0006541600323872743,"[0.04638172796539281, 0.07104886371643745]",[0.01946741],14,"[-5.482978652169758e-11, 1.1550614568552716e-07, -9.573734666116972e-05, 0.048398458041533206, 0.6989696201236364]",[0.02569736],87,"[0.009637236312533696, -0.4203327465914628, 7.123460212772494, -56.3169317189799, 240.3432784712042]",[6.95278657],100
26,BEE_7_1,BEE1A14,98.96597731821214,-2.750543298635222e-05,"[0.04634670519774046, 0.072220493889551]",[0.02161839],14,"[-5.314975303723796e-11, 1.1266964216478429e-07, -9.398498045715767e-05, 0.04787166272629638, 0.7376758102378707]",[0.02553012],87,"[0.009419037791432697, -0.41306110588359646, 7.044669445183766, -56.04215088104916, 240.36599085838662]",[6.22836176],100
27,BEE_7_2,BEE2A14,98.86591060707137,-4.5706359993680223e-05,"[0.04636077671225413, 0.07175945024854438]",[0.0207145],14,"[-5.382307685363893e-11, 1.1380842380980467e-07, -9.469003543991171e-05, 0.048084380807096726, 0.7220149698028431]",[0.0255996],87,"[0.009534023625010985, -0.4169848498101346, 7.088613041849569, -56.2048706643701, 240.38110947669776]",[6.30639079],100
28,BEE_8_-1,BEE1C16,98.56571047364909,0.00029091724391605567,"[0.04639970720737717, 0.07042857142857219]",[0.01841714],14,"[-5.574136322175129e-11, 1.17036209086398e-07, -9.667737232708051e-05, 0.04867994443320925, 0.6783951994932734]",[0.02576943],87,"[0.009482787640891506, -0.41483431965010586, 7.0580294098704295, -56.04082372262378, 240.1510865278327]",[8.18755825],100
29,BEE_8_-2,BEE2C16,98.66577718478986,-0.00035079111918889794,"[0.046392076539615204, 0.07069478272533351]",[0.01883822],14,"[-5.536234496905979e-11, 1.1640147950831162e-07, -9.628865350383163e-05, 0.04856408929750799, 0.6868469355202208]",[0.02575287],87,"[0.009556274171188345, -0.41764776980311125, 7.09434388533547, -56.210490721033196, 240.3021771240755]",[7.68940553],100
30,BEE_8_1,BEE1A16,98.86591060707137,-0.0003623412018214367,"[0.046364116033951706, 0.07163362036335266]",[0.0204922],14,"[-5.397956286965631e-11, 1.1407305354766854e-07, -9.485426728284765e-05, 0.048134249529947305, 0.7183368350649255]",[0.02560191],87,"[0.009561105138339786, -0.41790827076500936, 7.098936337652305, -56.24287799863109, 240.3834577519844]",[6.32646468],100
31,BEE_8_2,BEE2A16,98.86591060707137,-0.0005323767187235262,"[0.04636592400482743, 0.07157659311765048]",[0.02043004],14,"[-5.405668639283419e-11, 1.1420303214590678e-07, -9.493382839710403e-05, 0.04815761227162589, 0.7166381699056636]",[0.02562082],87,"[0.009572935300653394, -0.4183109249471222, 7.103430202662383, -56.259418669059116, 240.3847003204306]",[6.33803614],100
32,BIL_1_-1,BIL1C01,98.66577718478986,-0.00038422506138591217,"[0.046392442815927554, 0.07068571428571466]",[0.01881832],14,"[-5.537715148992796e-11, 1.1642604012309002e-07, -9.630346245937379e-05, 0.048568429594857354, 0.6865343100983609]",[0.02574347],87,"[0.00955867179050668, -0.4177296358557835, 7.09526393263244, -56.21394976085518, 240.30282235123804]",[7.69107533],100
33,BIL_1_-2,BIL2C01,98.46564376250834,0.0005375139322341127,"[0.04641086350177888, 0.07006870366441258]",[0.01777646],14,"[-5.633093134861842e-11, 1.1802473696950508e-07, -9.728414788927883e-05, 0.04886132808495813, 0.6651567805109476]",[0.02584515],87,"[0.009305790686686867, -0.4089298405858266, 6.993237335596566, -55.796454159473804, 240.0259244210121]",[7.41659875],100
34,BIL_1_-3,BIL3C01,98.46564376250834,8.540951249536022e-05,"[0.04641523136168045, 0.06992283456489518]",[0.01752927],14,"[-5.656587399458732e-11, 1.1841827016137671e-07, -9.752529807674376e-05, 0.04893308954687913, 0.6599073101875027]",[0.0258746],87,"[0.009343033303216827, -0.4102017471340744, 7.007492672347457, -55.84922955227606, 240.0303022321099]",[7.42822411],100
35,BIL_1_-4,BIL4C01,98.46564376250834,-0.00018057666207038636,"[0.046418329102185525, 0.06980299180383094]",[0.01737072],14,"[-5.6736633299820555e-11, 1.1870295653104609e-07, -9.769876985043024e-05, 0.04898451442918589, 0.6561890804402271]",[0.02587702],87,"[0.009370209196179428, -0.41112787053375816, 7.017838955392414, -55.88727563754833, 240.03248790965827]",[7.4346575],100
36,BIL_1_-5,BIL5C01,98.46564376250834,0.0006263161907842374,"[0.04640992677395692, 0.07009140731541086]",[0.01782706],14,"[-5.629629776006116e-11, 1.179667270406317e-07, -9.724797953942647e-05, 0.04884995007534983, 0.6659978491453711]",[0.025852],87,"[0.009298938863469138, -0.4086953669674957, 6.9905985396651, -55.78655764732149, 240.02438228605675]",[7.41667019],100
37,BIL_1_-6,BIL6C01,98.56571047364909,0.00019689740346073847,"[0.046400422321320994, 0.07039156093775494]",[0.01835686],14,"[-5.5807882179697166e-11, 1.1714832675619118e-07, -9.674639901250775e-05, 0.04870042898325247, 0.6768851047930688]",[0.02579013],87,"[0.009398890100893387, -0.4121458571566939, 7.030184049522195, -55.94632833251678, 240.1296516296869]",[7.99138091],100
38,BIL_1_1,BIL1A01,98.66577718478986,3.602332670116226e-05,"[0.04638823544214081, 0.07082066505096594]",[0.01907977],14,"[-5.515603552381288e-11, 1.1605510400573115e-07, -9.607571835635948e-05, 0.048500263337489885, 0.6915183190922892]",[0.02572123],87,"[0.009612477037358451, -0.4194962080267675, 7.114371489738519, -56.28662562772314, 240.3562639527848]",[7.49477044],100
39,BIL_1_2,BIL2A01,98.66577718478986,0.0005636324275695159,"[0.0463826001703239, 0.07101945043625923]",[0.01939891],14,"[-5.488557225403303e-11, 1.1560065088404799e-07, -9.57961810070628e-05, 0.04841637508965977, 0.6976551991474682]",[0.02570131],87,"[0.009647198550933985, -0.420672537599604, 7.127264457483562, -56.33103121196879, 240.34476066537258]",[6.95401893],100
40,BIL_1_3,BIL3A01,98.56571047364909,0.0006014872618953504,"[0.04639613324561382, 0.07055674724687627]",[0.01860414],14,"[-5.5582775526493186e-11, 1.1677091920409126e-07, -9.651500264645464e-05, 0.04863149110731359, 0.6819191273711298]",[0.02578066],87,"[0.009509696986165701, -0.41607268374817263, 7.0766034811905145, -56.13859764859414, 240.24021228310602]",[7.86363835],100
41,BIL_1_4,BIL4A01,98.56571047364909,-0.0006550033483483375,"[0.04640898785828524, 0.07013102061210787]",[0.01786231],14,"[-5.625104040306738e-11, 1.1789141441131907e-07, -9.720245436087127e-05, 0.04883669073366878, 0.6669471218581432]",[0.02582763],87,"[0.009292510959630008, -0.40847664350433666, 6.988166210549147, -55.77777633696583, 240.02490787411642]",[7.41358573],100
42,BIL_1_5,BIL5A01,98.66577718478986,-0.00046113814020909416,"[0.04639343959411309, 0.07065482256589282]",[0.0187856],14,"[-5.541674521758497e-11, 1.1649183028994708e-07, -9.634341974821067e-05, 0.04858027867301752, 0.6856852967951086]",[0.02575302],87,"[0.009564442554806239, -0.41792634972574505, 7.097456543067017, -56.22189602816162, 240.30243539640279]",[7.69595266],100
43,BIL_1_6,BIL6A01,98.56571047364909,0.00034377679539598915,"[0.046398920433998875, 0.07045836327518029]",[0.0184411],14,"[-5.5721973001662204e-11, 1.1700448254379836e-07, -9.665861983598539e-05, 0.04867456686013024, 0.6787767128674693]",[0.02578429],87,"[0.009462590195951302, -0.4144254106464819, 7.057333099984196, -56.057752674420975, 240.1757092452952]",[7.91898709],100
44,BIL_2_-1,BIL1C03,98.36557705136758,0.00041968599912767246,"[0.04642597976849382, 0.06954002071197718]",[0.01691047],14,"[-5.716969572758695e-11, 1.194244732963281e-07, -9.813862284444814e-05, 0.04911519039086556, 0.6466906581030576]",[0.02592051],87,"[0.009583091268302842, -0.41823959872623434, 7.097445062966685, -56.21622233498032, 240.37420630571341]",[8.03647061],100
45,BIL_2_-2,BIL2C03,98.36557705136758,-0.0005160695617565381,"[0.04643572064909822, 0.06922352335041286]",[0.01639853],14,"[-5.7697104472840756e-11, 1.2030291316180504e-07, -9.867386884322429e-05, 0.04927392997699704, 0.6351742963834588]",[0.02598194],87,"[0.009589116701571556, -0.41851130500917055, 7.1017153482431015, -56.24772901086998, 240.48920529861502]",[8.17345057],100
46,BIL_2_-3,BIL3C03,98.16544362908606,0.0004991831466885088,"[0.046452365322603016, 0.06867196473551322]",[0.01549887],14,"[-5.86809296381071e-11, 1.219379704967927e-07, -9.966811397991094e-05, 0.04956809789319391, 0.6138610168569973]",[0.02604023],87,"[0.00975106195637178, -0.42319382919106574, 7.14260579675956, -56.347463318948556, 240.50440881974419]",[8.40917532],100
47,BIL_2_-4,BIL4C03,98.26551034022681,4.6148909395249404e-05,"[0.04644312151033797, 0.06897699053047594]",[0.01598002],14,"[-5.814860195320172e-11, 1.2105473482392584e-07, -9.913217488347787e-05, 0.0494098135761349, 0.625288355711926]",[0.02602046],87,"[0.009659914954288574, -0.4203503825033795, 7.114485798280831, -56.26282180592094, 240.52691187659246]",[8.21769565],100
48,BIL_2_-5,BIL5C03,98.36557705136758,-0.0005628979520677646,"[0.04643593953938782, 0.06922000000000113]",[0.01638771],14,"[-5.771458527715118e-11, 1.2033276580333903e-07, -9.869313838650316e-05, 0.049280198994933744, 0.6346884922248727]",[0.02597376],87,"[0.009592819198836203, -0.41863817773376455, 7.1031465272364995, -56.25312981019732, 240.4902238348151]",[8.17919093],100
49,BIL_2_-6,BIL6C03,98.36557705136758,0.00021936968834435078,"[0.04642810141139839, 0.06947933019167098]",[0.01682816],14,"[-5.726157693464318e-11, 1.195778754386109e-07, -9.823201227729214e-05, 0.0491426505058838, 0.6447034333845406]",[0.02592812],87,"[0.009596495240571363, -0.41869734533279385, 7.1025710249001035, -56.23511412423535, 240.37517719907356]",[8.04811055],100
50,BIL_2_1,BIL1A03,98.26551034022681,0.00013429978431656053,"[0.04644242887711502, 0.06900521371532807]",[0.01604668],14,"[-5.8075144677892286e-11, 1.2093136168057358e-07, -9.905623784709001e-05, 0.04938719157173007, 0.6269365891803895]",[0.0259735],87,"[0.009611143671318568, -0.4189808464367448, 7.103193112131323, -56.23981082256161, 240.5314221842694]",[8.1425745],100
51,BIL_2_2,BIL2A03,98.26551034022681,0.0005946087725225979,"[0.04643748274427631, 0.06917428161856885]",[0.01628823],14,"[-5.782280823853102e-11, 1.2051244400735554e-07, -9.8802057542454e-05, 0.049312198944301375, 0.6323686948522533]",[0.02598261],87,"[0.009609239624291641, -0.4191990290997111, 7.109436010078093, -56.27647495702157, 240.4925561625567]",[8.19584454],100
52,BIL_2_3,BIL3A03,98.36557705136758,-0.0006069977633389456,"[0.046436850354050124, 0.0691786646187046]",[0.01633584],14,"[-5.7752307903138736e-11, 1.2039448279297103e-07, -9.872972914375294e-05, 0.049290741239562834, 0.6339544918238604]",[0.02596755],87,"[0.009598236383589705, -0.4188223432951972, 7.105191637132455, -56.260488356904446, 240.48966817721006]",[8.18556862],100
53,BIL_2_4,BIL4A03,98.26551034022681,0.0003293428910371432,"[0.046440422982264216, 0.06907311497449117]",[0.01614955],14,"[-5.797565923382042e-11, 1.2076650285059073e-07, -9.89562596209135e-05, 0.04935760246102672, 0.6290917638401777]",[0.02599897],87,"[0.009595706327275294, -0.41845387409762075, 7.097290799208725, -56.2179860676694, 240.52970363102526]",[8.11728819],100
54,BIL_2_5,BIL5A03,98.26551034022681,-0.00041123433345369165,"[0.04644820967646282, 0.06881664185422107]",[0.01574078],14,"[-5.84136673410464e-11, 1.2149429337225393e-07, -9.939884066584453e-05, 0.04948865446465961, 0.6196058632962594]",[0.02602045],87,"[0.009700886266552066, -0.4217482471536066, 7.130130597145898, -56.32056578284518, 240.5309259858854]",[8.29697102],100
